Mode,Expected Time,Actual Time,Correct Answers,Next Mode
1,750,989,3,0
1,750,571,2,0
1,750,245,5,2
2,1000,1648,3,1
1,750,529,5,2
0,300,479,4,0
1,750,559,4,2
1,750,1178,3,0
2,1000,1863,5,1
2,1000,1548,1,1
1,750,304,0,0
1,750,906,1,0
2,1000,994,4,2
2,1000,1149,0,1
2,1000,1054,0,1
1,750,678,1,0
1,750,933,5,1
0,300,203,3,0
2,1000,462,4,2
1,750,255,2,0
1,750,1310,5,0
2,1000,182,3,1
0,300,501,5,0
2,1000,1454,3,1
1,750,1398,1,0
1,750,868,3,0
1,750,546,4,2
2,1000,1705,1,1
1,750,175,1,0
1,750,28,1,0
0,300,52,2,0
0,300,88,4,1
1,750,155,2,0
2,1000,204,5,2
1,750,412,3,0
0,300,296,0,0
2,1000,1610,3,1
1,750,978,1,0
2,1000,1997,0,1
2,1000,1322,2,1
2,1000,1597,2,1
1,750,1265,0,0
1,750,1,3,0
1,750,637,4,2
1,750,646,3,0
2,1000,1791,0,1
1,750,1077,4,1
2,1000,1349,5,2
1,750,765,3,0
1,750,1072,4,1
2,1000,1922,1,1
1,750,324,2,0
2,1000,448,4,2
0,300,236,5,1
2,1000,94,2,1
2,1000,1200,1,1
2,1000,442,0,1
1,750,1048,3,0
2,1000,1906,2,1
1,750,1343,3,0
0,300,44,5,1
2,1000,439,4,2
0,300,125,2,0
1,750,245,0,0
0,300,536,2,0
2,1000,1382,5,2
2,1000,1724,2,1
1,750,977,3,0
1,750,1341,2,0
0,300,187,1,0
1,750,61,2,0
2,1000,384,0,1
0,300,65,5,1
0,300,211,2,0
0,300,510,1,0
1,750,1228,2,0
2,1000,123,1,1
2,1000,1553,3,1
1,750,392,1,0
2,1000,304,4,2
1,750,1041,4,1
2,1000,199,5,2
2,1000,1802,2,1
2,1000,172,4,2
1,750,214,3,0
2,1000,477,3,1
2,1000,932,1,1
1,750,1449,2,0
2,1000,155,5,2
2,1000,1719,0,1
0,300,414,3,0
1,750,107,5,2
2,1000,373,2,1
1,750,1386,4,0
1,750,734,0,0
0,300,207,2,0
0,300,96,0,0
1,750,1359,0,0
2,1000,25,2,1
2,1000,1815,3,1
2,1000,825,1,1
2,1000,1134,5,2
2,1000,1289,4,2
1,750,691,0,0
1,750,124,0,0
2,1000,1315,3,1
0,300,31,5,1
1,750,991,1,0
0,300,58,3,0
2,1000,1861,2,1
1,750,901,0,0
1,750,1045,3,0
2,1000,64,2,1
2,1000,1751,5,1
1,750,510,0,0
1,750,1387,5,0
1,750,368,4,2
2,1000,1524,5,1
1,750,1121,0,0
2,1000,800,1,1
1,750,478,4,2
1,750,1493,2,0
1,750,1006,4,1
1,750,896,1,0
2,1000,33,1,1
2,1000,352,5,2
2,1000,108,5,2
0,300,382,2,0
2,1000,1917,0,1
0,300,86,1,0
1,750,1103,0,0
2,1000,734,1,1
1,750,1360,1,0
2,1000,215,2,1
2,1000,1038,3,1
2,1000,1289,3,1
1,750,1081,0,0
0,300,436,3,0
2,1000,1014,1,1
2,1000,1363,2,1
2,1000,1326,5,2
2,1000,350,5,2
0,300,473,2,0
2,1000,1419,4,2
0,300,195,5,1
2,1000,527,4,2
1,750,1454,5,0
2,1000,1277,2,1
2,1000,1819,2,1
2,1000,889,2,1
2,1000,408,2,1
1,750,1327,2,0
2,1000,1351,5,2
1,750,160,1,0
2,1000,764,1,1
2,1000,910,3,1
2,1000,1214,1,1
1,750,1296,0,0
2,1000,1096,1,1
1,750,967,0,0
1,750,74,3,0
1,750,711,2,0
0,300,43,0,0
0,300,324,0,0
1,750,1142,2,0
1,750,514,5,2
1,750,631,4,2
1,750,239,3,0
2,1000,1009,3,1
2,1000,581,5,2
2,1000,1814,4,1
1,750,811,5,1
2,1000,1991,5,1
1,750,800,4,1
1,750,982,1,0
2,1000,1240,0,1
0,300,212,2,0
1,750,922,4,1
2,1000,661,4,2
1,750,40,4,2
2,1000,1332,1,1
1,750,1391,0,0
1,750,1009,5,1
1,750,751,5,1
1,750,95,5,2
2,1000,1227,3,1
0,300,528,2,0
2,1000,748,1,1
1,750,1359,2,0
1,750,606,3,0
2,1000,659,2,1
2,1000,1208,5,2
0,300,298,1,0
1,750,1129,2,0
2,1000,959,4,2
1,750,1217,5,0
2,1000,1597,4,1
1,750,1403,5,0
1,750,1027,0,0
2,1000,187,3,1
1,750,842,2,0
2,1000,1450,0,1
1,750,262,1,0
2,1000,1118,5,2
1,750,1274,1,0
1,750,149,5,2
1,750,1251,2,0
0,300,341,3,0
1,750,1487,1,0
1,750,872,0,0
1,750,1164,4,0
1,750,1302,3,0
1,750,1401,2,0
1,750,603,4,2
1,750,123,2,0
1,750,744,2,0
1,750,310,1,0
2,1000,680,2,1
2,1000,299,1,1
1,750,1499,0,0
2,1000,973,2,1
2,1000,949,0,1
2,1000,1051,0,1
0,300,508,2,0
1,750,683,1,0
2,1000,1970,1,1
2,1000,166,5,2
0,300,37,1,0
2,1000,20,4,2
2,1000,921,3,1
1,750,453,4,2
2,1000,671,2,1
2,1000,1255,1,1
1,750,1383,5,0
2,1000,1560,5,1
0,300,39,3,0
1,750,488,3,0
2,1000,930,5,2
2,1000,1982,2,1
2,1000,1549,1,1
2,1000,1581,1,1
1,750,435,5,2
0,300,450,3,0
2,1000,1423,1,1
2,1000,945,4,2
2,1000,1799,5,1
1,750,1222,5,0
2,1000,448,0,1
2,1000,419,2,1
2,1000,546,4,2
1,750,1247,5,0
2,1000,411,4,2
1,750,1396,1,0
2,1000,1847,0,1
2,1000,945,2,1
2,1000,1528,0,1
1,750,839,5,1
1,750,1076,2,0
1,750,754,0,0
2,1000,1704,1,1
1,750,405,1,0
1,750,1058,4,1
2,1000,1476,1,1
1,750,240,3,0
2,1000,709,4,2
0,300,555,2,0
2,1000,1704,4,1
2,1000,1334,3,1
2,1000,1737,5,1
1,750,62,3,0
0,300,33,5,1
2,1000,1510,3,1
0,300,412,5,0
1,750,965,0,0
1,750,1025,1,0
2,1000,919,5,2
1,750,1018,5,1
0,300,477,1,0
2,1000,450,0,1
2,1000,578,0,1
1,750,1002,4,1
2,1000,964,5,2
0,300,532,4,0
0,300,431,3,0
0,300,419,0,0
2,1000,1132,0,1
1,750,1185,1,0
2,1000,1914,1,1
1,750,236,0,0
2,1000,1899,3,1
1,750,1085,4,1
1,750,407,3,0
1,750,306,2,0
2,1000,598,1,1
2,1000,649,3,1
0,300,115,3,0
1,750,425,1,0
0,300,198,5,1
2,1000,1168,5,2
1,750,72,5,2
0,300,53,2,0
2,1000,847,2,1
0,300,443,3,0
1,750,450,0,0
1,750,1288,0,0
1,750,1008,5,1
1,750,757,1,0
2,1000,1335,2,1
1,750,880,5,1
1,750,1019,0,0
2,1000,420,3,1
2,1000,1862,2,1
2,1000,704,3,1
1,750,595,2,0
2,1000,1504,2,1
1,750,305,5,2
2,1000,219,5,2
1,750,138,2,0
0,300,531,1,0
0,300,22,1,0
0,300,122,3,0
2,1000,1552,3,1
2,1000,1961,0,1
1,750,358,4,2
0,300,21,3,0
2,1000,319,3,1
2,1000,1711,2,1
2,1000,667,1,1
2,1000,721,0,1
2,1000,857,5,2
1,750,782,3,0
1,750,416,5,2
1,750,491,3,0
1,750,677,3,0
2,1000,1070,4,2
2,1000,264,4,2
2,1000,1954,1,1
1,750,864,0,0
2,1000,1454,2,1
1,750,458,0,0
1,750,33,3,0
0,300,189,5,1
1,750,1067,5,1
2,1000,1512,1,1
2,1000,449,2,1
0,300,12,5,1
2,1000,1400,0,1
2,1000,405,1,1
1,750,1145,2,0
1,750,357,5,2
2,1000,1023,0,1
0,300,180,0,0
2,1000,741,4,2
0,300,406,5,0
2,1000,634,2,1
1,750,1498,2,0
1,750,870,0,0
2,1000,1389,4,2
1,750,310,2,0
1,750,1480,3,0
0,300,5,0,0
0,300,101,4,1
2,1000,761,2,1
2,1000,390,0,1
2,1000,1309,5,2
2,1000,556,1,1
1,750,166,2,0
2,1000,616,2,1
2,1000,1714,4,1
2,1000,1721,5,1
1,750,1438,4,0
2,1000,378,4,2
2,1000,222,4,2
2,1000,1284,2,1
1,750,130,2,0
2,1000,1638,3,1
2,1000,1624,3,1
1,750,1076,5,1
1,750,1032,1,0
1,750,901,1,0
1,750,280,4,2
1,750,260,1,0
2,1000,1877,5,1
0,300,150,5,1
1,750,1482,3,0
1,750,1007,0,0
2,1000,559,3,1
2,1000,413,3,1
2,1000,1861,0,1
2,1000,1774,0,1
2,1000,877,3,1
2,1000,1159,2,1
2,1000,85,4,2
2,1000,14,2,1
1,750,606,2,0
1,750,505,2,0
2,1000,189,3,1
0,300,204,0,0
1,750,347,3,0
2,1000,1065,3,1
1,750,407,1,0
2,1000,1526,2,1
1,750,1276,0,0
2,1000,1591,4,1
1,750,717,1,0
0,300,322,2,0
1,750,131,4,2
0,300,175,4,1
2,1000,753,3,1
0,300,448,1,0
2,1000,1377,3,1
1,750,79,3,0
1,750,1266,2,0
2,1000,446,5,2
0,300,322,4,0
2,1000,1263,4,2
2,1000,806,5,2
1,750,1427,4,0
0,300,456,1,0
1,750,512,2,0
2,1000,1628,0,1
2,1000,692,3,1
2,1000,668,1,1
2,1000,1137,4,2
1,750,400,4,2
2,1000,1177,1,1
1,750,151,2,0
1,750,493,5,2
2,1000,1762,2,1
0,300,407,5,0
2,1000,1996,4,1
1,750,986,5,1
2,1000,799,5,2
2,1000,292,3,1
1,750,554,3,0
2,1000,1774,1,1
0,300,32,4,1
0,300,240,3,0
2,1000,582,0,1
2,1000,1361,0,1
2,1000,562,3,1
2,1000,1383,0,1
0,300,298,3,0
2,1000,1588,2,1
2,1000,1455,0,1
2,1000,1519,4,1
2,1000,1878,5,1
1,750,73,3,0
2,1000,1030,1,1
1,750,114,4,2
1,750,1248,0,0
2,1000,1333,2,1
1,750,1453,4,0
2,1000,875,1,1
2,1000,1221,5,2
1,750,296,1,0
2,1000,1657,2,1
0,300,580,2,0
0,300,242,5,1
2,1000,880,2,1
0,300,466,5,0
1,750,765,5,1
1,750,259,0,0
1,750,654,4,2
2,1000,677,2,1
2,1000,1771,2,1
2,1000,481,3,1
2,1000,533,1,1
2,1000,297,5,2
2,1000,1576,4,1
2,1000,531,3,1
2,1000,497,0,1
2,1000,1071,3,1
0,300,589,0,0
1,750,571,0,0
1,750,964,1,0
1,750,1427,3,0
2,1000,1967,2,1
1,750,101,2,0
2,1000,438,4,2
1,750,280,3,0
1,750,1260,5,0
2,1000,18,0,1
2,1000,1730,1,1
1,750,671,5,2
2,1000,638,3,1
1,750,1086,2,0
2,1000,444,1,1
2,1000,1750,1,1
1,750,104,0,0
2,1000,1371,5,2
1,750,1302,4,0
1,750,1360,0,0
2,1000,1043,5,2
1,750,301,0,0
2,1000,866,2,1
1,750,553,1,0
0,300,403,3,0
2,1000,1784,5,1
1,750,301,1,0
2,1000,1048,3,1
2,1000,160,2,1
2,1000,1485,1,1
1,750,1038,5,1
1,750,202,0,0
1,750,11,5,2
2,1000,1957,2,1
1,750,136,0,0
2,1000,1605,5,1
1,750,805,4,1
1,750,612,1,0
0,300,297,3,0
2,1000,673,0,1
1,750,1323,2,0
2,1000,866,1,1
2,1000,642,4,2
2,1000,117,2,1
1,750,1260,3,0
1,750,1298,3,0
1,750,356,4,2
1,750,49,0,0
1,750,740,1,0
1,750,334,5,2
2,1000,1001,1,1
2,1000,762,2,1
2,1000,1335,0,1
1,750,1428,0,0
1,750,1380,1,0
0,300,417,5,0
2,1000,95,3,1
1,750,1265,1,0
0,300,381,0,0
1,750,231,1,0
0,300,468,2,0
1,750,494,4,2
1,750,779,5,1
0,300,365,0,0
1,750,123,4,2
1,750,559,5,2
1,750,162,5,2
1,750,1239,3,0
2,1000,148,0,1
1,750,467,3,0
1,750,883,4,1
1,750,1297,5,0
1,750,12,5,2
2,1000,780,3,1
2,1000,1764,1,1
2,1000,59,2,1
2,1000,1264,5,2
0,300,418,5,0
2,1000,1237,1,1
2,1000,370,5,2
1,750,464,1,0
2,1000,186,1,1
0,300,208,1,0
2,1000,246,4,2
2,1000,1086,4,2
2,1000,289,5,2
2,1000,336,1,1
1,750,1382,2,0
1,750,446,1,0
1,750,1452,4,0
1,750,55,1,0
2,1000,512,3,1
1,750,105,5,2
2,1000,863,0,1
1,750,1055,0,0
2,1000,1102,1,1
1,750,679,2,0
2,1000,1197,4,2
2,1000,1909,3,1
2,1000,102,3,1
2,1000,1279,0,1
2,1000,1115,4,2
2,1000,321,5,2
1,750,582,5,2
1,750,1167,2,0
2,1000,734,5,2
1,750,1183,2,0
1,750,205,4,2
2,1000,1710,5,1
2,1000,1992,3,1
1,750,25,1,0
2,1000,536,5,2
1,750,934,5,1
1,750,1206,4,0
2,1000,1190,3,1
0,300,305,0,0
2,1000,476,4,2
2,1000,1670,3,1
1,750,923,2,0
2,1000,168,1,1
1,750,198,1,0
0,300,420,0,0
1,750,1137,5,0
2,1000,495,1,1
0,300,294,5,1
1,750,283,5,2
2,1000,1766,1,1
2,1000,185,1,1
1,750,1120,1,0
2,1000,1818,0,1
1,750,321,1,0
0,300,432,4,0
1,750,667,3,0
1,750,196,2,0
2,1000,310,0,1
2,1000,1434,1,1
0,300,331,0,0
1,750,946,0,0
2,1000,1780,4,1
1,750,298,2,0
2,1000,1020,5,2
1,750,248,4,2
1,750,919,0,0
2,1000,152,5,2
2,1000,1218,5,2
2,1000,1156,1,1
1,750,915,0,0
2,1000,334,3,1
2,1000,647,1,1
1,750,839,4,1
1,750,1331,5,0
2,1000,180,4,2
1,750,1474,1,0
0,300,170,2,0
2,1000,633,3,1
2,1000,374,3,1
2,1000,894,4,2
2,1000,18,1,1
2,1000,139,0,1
2,1000,1186,3,1
1,750,758,0,0
2,1000,1945,0,1
2,1000,947,0,1
1,750,1480,0,0
2,1000,1642,0,1
1,750,881,5,1
0,300,125,5,1
1,750,341,3,0
1,750,1261,4,0
2,1000,775,3,1
1,750,211,4,2
2,1000,303,1,1
2,1000,1347,2,1
2,1000,1015,1,1
2,1000,1020,1,1
1,750,1017,4,1
1,750,1008,3,0
0,300,319,4,0
2,1000,809,0,1
2,1000,771,2,1
2,1000,212,3,1
2,1000,743,2,1
2,1000,1429,2,1
1,750,1294,4,0
1,750,905,3,0
2,1000,1792,0,1
1,750,813,5,1
2,1000,1373,5,2
2,1000,447,2,1
2,1000,1083,2,1
0,300,384,3,0
1,750,382,4,2
1,750,1182,4,0
1,750,605,5,2
1,750,866,4,1
2,1000,403,2,1
1,750,1465,1,0
1,750,964,3,0
2,1000,1912,5,1
2,1000,1775,5,1
2,1000,259,1,1
2,1000,1874,2,1
2,1000,253,4,2
2,1000,1958,3,1
0,300,38,1,0
2,1000,897,5,2
2,1000,787,0,1
1,750,267,0,0
0,300,83,1,0
1,750,256,0,0
1,750,814,2,0
1,750,837,0,0
0,300,42,4,1
1,750,758,2,0
2,1000,1046,2,1
0,300,190,5,1
2,1000,1222,5,2
2,1000,847,5,2
1,750,1331,1,0
1,750,203,2,0
1,750,734,5,2
2,1000,568,1,1
1,750,1136,1,0
0,300,325,2,0
0,300,394,4,0
2,1000,925,2,1
1,750,594,2,0
1,750,1222,1,0
1,750,1086,1,0
2,1000,1371,0,1
2,1000,940,5,2
2,1000,1088,3,1
2,1000,13,4,2
2,1000,1538,3,1
1,750,735,5,2
2,1000,1028,1,1
1,750,1442,0,0
1,750,528,2,0
2,1000,60,4,2
1,750,919,3,0
1,750,1023,2,0
2,1000,345,4,2
1,750,116,3,0
2,1000,1583,4,1
0,300,470,0,0
1,750,461,5,2
1,750,1140,3,0
2,1000,359,3,1
2,1000,312,1,1
1,750,959,0,0
2,1000,407,2,1
2,1000,1838,0,1
2,1000,1166,0,1
2,1000,51,0,1
0,300,350,4,0
2,1000,803,3,1
1,750,328,0,0
2,1000,1417,2,1
1,750,835,2,0
2,1000,1643,0,1
0,300,214,1,0
1,750,294,4,2
1,750,1177,4,0
1,750,1434,3,0
2,1000,1314,1,1
2,1000,902,4,2
2,1000,242,0,1
2,1000,1944,0,1
2,1000,1406,2,1
1,750,957,3,0
1,750,763,2,0
2,1000,1259,0,1
2,1000,597,5,2
2,1000,271,4,2
